id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
6909,0,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9Y,86,3564
6911,0,1,0,Shawinigan,Mauricie,,G9R,92,3563
6912,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3559
6917,0,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,3556
6918,66-80,0,0,Saint-Hyacinthe,Montérégie,,J2S,86,3557
6919,0,0,20001-30000,Trois-Rivières,Mauricie,Saint-Louis de France,G8W,92,3555
6932,0,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3543
6933,81-95,1,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Y,86,3536
6941,0,0,0,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Z,86,3532
6953,18-30,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3514
6984,81-95,1,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9A,86,3490
6985,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3491
6996,31-54,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3344
7001,0,0,10001-20000,Shawinigan,Mauricie,,G9N,92,3479
7003,55-65,1,0-10000,Saint-Étienne-des-Grès,Mauricie,,G0X,86,3343
7004,31-54,0,30001-50000,Shawinigan,Mauricie,,G9R,92,3471
7034,31-54,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3438
7044,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3429
7055,0,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9A,86,3414
7059,31-54,1,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3418
7060,31-54,0,30001-50000,Notre-Dame-du-Mont-Carmel,Mauricie,,G0X,92,3419
7066,0,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3400
7078,31-54,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3398
7085,31-54,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G9A,86,3390
7110,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3361
7112,31-54,1,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3359
7125,31-54,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3345
7155,31-54,0,50001-,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3314
7158,31-54,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3311
7177,31-54,0,20001-30000,Shawinigan,Mauricie,,G9N,92,3291
7178,31-54,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3289
7185,66-80,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3279
7186,31-54,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3280
7187,0,0,0,Saint-Luc-de-Vincennes,Mauricie,,G0X,86,3282
7194,66-80,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Z,86,3268
7219,55-65,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3250
7221,55-65,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3246
7241,66-80,1,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3228
7251,66-80,0,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3226
7255,66-80,0,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3213
7256,66-80,0,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3214
7257,55-65,1,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3215
7258,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3216
7268,31-54,0,10001-20000,Bécancour,Centre-du-Québec,,G9H,86,3203
7277,55-65,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3195
7294,55-65,0,30001-50000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8Z,86,3181
7305,31-54,0,30001-50000,Shawinigan,Mauricie,,G9N,92,3164
7306,31-54,0,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3165
7309,55-65,1,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3157
7310,66-80,1,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Y,86,3158
7311,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3159
7315,66-80,0,30001-50000,Notre-Dame-du-Mont-Carmel,Mauricie,,G0X,86,3156
7326,0,0,0,Montréal,Montréal,Montréal-Nord,H1H,88,927
7327,0,\N,,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,2434
7342,66-80,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3130
7348,55-65,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3124
7375,66-80,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,3099
7425,31-54,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3049
7440,31-54,0,30001-50000,Shawinigan,Mauricie,,G9N,92,3037
7445,55-65,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3029
7446,0,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Y,86,3025
7452,96-150,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,3020
7455,0,1,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,3018
7472,31-54,1,50001-,Montréal,Montréal,Montréal-Nord,H1G,86,3002
7478,31-54,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,2997
7482,31-54,1,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,2988
7495,0,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,2977
