"NoCategorieSousCategorie";"NoSousCategorie";"NoCategorie";"TitreOffre";"Supprimer";"Approuver";"Description";"NoOffre"
"56";"B";"100";"Accompagnement magasinage";"0";"-1";"Accompagnement pour faire du magasinage";"1"
"55";"A";"100";"Accompagnement défense des droits sociaux";"0";"-1";"Accompagnement pour démarche de défense des droits sociaux";"5"
"54";"A";"100";"Accompagnement recherche logement";"0";"-1";"Accompagnement pour  conseil dans le choix d'un logement";"4"
"53";"A";"100";"Accompagnement personnes immigrantes";"0";"-1";"Accompagnement de personnes immigrantes pour rendez-vous divers
";"3"
"52";"A";"100";"Accompagnement rendez-vous médicaux";"0";"-1";"Accompagnement pour n'importe quelle sorte de rendez-vous médicaux";"2"
"51";"A";"100";"Accompagnement rendez-vous divers";"0";"-1";"Accompagnement pour n'importe quelle sorte de rendez-vous";"1"
"57";"B";"100";"Commissions à votre place";"0";"-1";"Fait les courses ou les commissions à votre place";"2"
"58";"B";"100";"Accompagnement épicerie";"0";"-1";"Accompagnement pour faire l'épicerie";"3"
"59";"A";"200";"Commande au groupe d'achats";"0";"-1";"Paiement en heures par l&#8217;AccordeurE de sa commande de l'achat regroupé";"1"
"60";"B";"200";"Partage des commandes";"0";"-1";"Partage de la commande mensuelle  de l'achat regroupé";"1"
"61";"B";"200";"Élaborer liste des produits";"0";"-1";"Élaboration de la liste des produits pour la commande mensuelle de l'achat regroupé";"2"
"62";"B";"200";"Saisie des commandes";"0";"-1";"Saisie des commandes lors du souper mensuel de l'achat regroupé";"3"
"63";"B";"200";"Recherche de fournisseurs";"0";"-1";"Recherche de nouveaux fournisseurs pour l'achat regroupé";"4"
"64";"B";"200";"Transport pour commande";"0";"-1";"Aller chercher la commande d'un fournisseur";"5"
"65";"B";"200";"Recherche informations pour achat regroupé";"0";"-1";"Recherches d'informations pour l'achat regroupé";"6"
"66";"C";"200";"Rencontre de travail achat regroupé";"0";"-1";"Rencontres de travail pour la gestion de l'achat regroupé";"1"
"67";"C";"200";"Appels téléphoniques achat regroupé";"0";"-1";"Appels téléphoniques pour  l'achat regroupé";"2"
"68";"C";"200";"Animation du souper commande";"0";"-1";"Animation du souper commande de l'achat regroupé";"3"
"69";"C";"200";"Accueil au souper commande";"0";"-1";"Accueil des nouveaux participantEs lors du souper mensuel de l'achat regroupé";"4"
"70";"C";"200";"Accueil ramassag";"-1";"-1";"Accueil des Accordeurs pour le ramassage des commandes";"4"
"71";"D";"200";"Tâches manuelles pour achat regroupé";"0";"-1";"Accomplissement de tâches manuelles pour l'achat regroupé";"1"
"72";"D";"200";"Tâches cléricales pour achat regroupé";"0";"-1";"Accomplissement de tâches cléricales pour l'achat regroupé";"2"
"73";"D";"200";"Développement d'outils achat regroupé";"0";"-1";"Développement de nouveaux outils pour l'achat regroupé";"3"
"74";"D";"200";"Nettoyage pour achat regroupé";"0";"-1";"Nettoyage du matériel nécessaire à l'achat regroupé";"4"
"75";"D";"200";"Dépliant de l'achat regroupé";"0";"-1";"Confection ou mise à jour du dépliant de l'achat regroupé";"5"
"76";"A";"201";"Demande de prêt";"0";"-1";"Paiement pour le traitement d'une demande de prêt";"1"
"77";"B";"201";"Rencontre de travail crédit solidaire";"0";"-1";"Rencontres de travail pour la gestion du crédit solidaire";"1"
"78";"C";"201";"Rencontre pour demande de prêt";"0";"-1";"Rencontre auprès d'un demandeur pour formuler une demande prêt";"1"
"79";"C";"201";"Analyse d'une demande de prêt";"0";"-1";"Analyse d'une demande de prêt par le comité de prêt";"2"
"80";"A";"300";"Accueil/réception permanence Accorderie";"0";"-1";"Accueil des membres et visiteurs aux locaux de L'Accorderie";"1"
"81";"A";"300";"Envoi postal pour L'Accorderie";"0";"-1";"Préparer l'envoi postal pour l'ensemble des Accordeurs";"2"
"82";"A";"300";"Facteur et factrice d'un jour";"0";"-1";"Aller porter le courrier au porte-à-porte";"3"
"83";"A";"300";"Sondages pour L'Accorderie";"0";"-1";"Accomplissement de tâches liées à un sondage de L'Accorderie";"4"
"84";"A";"300";"Assemblage de livrets de chèques temps";"0";"-1";"Assemblage de livrets de chèques temps pour L'Accorderie";"5"
"85";"B";"300";"Animation kiosque pour L'Accorderie";"0";"-1";"Animation d'un kiosque pour L'Accorderie lors d'un événement";"1"
"86";"B";"300";"Représentation de L'Accorderie";"0";"-1";"Présentation de L'Accorderie lors d'une rencontre ou auprès d'une organisation ou d'un média";"2"
"87";"B";"300";"Session d'accueil de L'Accorderie";"0";"-1";"Organisation ou accomplissement de tâches relatives à une session d'accueil de L'Accorderie";"3"
"88";"B";"300";"Tâches pour Fêtes ou 5 à 7 de L'Accorderie";"0";"-1";"Organisation ou accomplissement de tâches relatives à une fête ou un 5 à 7 de L'Accorderie";"4"
"89";"B";"300";"Formation pour L'Accorderie";"0";"-1";"Organisation ou accomplissement de tâches relatives à une formation de L'Accorderie";"5"
"90";"C";"300";"Rencontre comité Vie associative et gestion de l'échange";"0";"-1";"Rencontres de travail du comité de Vie associative et pour la gestion de l'échange de services";"1"
"91";"C";"300";"Foire d'échange / Salon des services de L'Accorderie";"0";"-1";"Organisation ou accomplissement de tâches relatives aux foires d'échange de services et/ou d'objets, et aux salons des services de L'Accorderie";"2"
"92";"C";"300";"Élaboration du Journal / du Bottin";"0";"-1";"Tâches liées à l'élaboration du journal des AccordeurEs, du journal des services ou du Bottin des membres de L'Accorderie";"3"
"93";"C";"300";"Mise à jour de la liste des membres";"0";"-1";"Organisation ou accomplissement de tâches relatives à la mise à jour de la liste des membres de L'Accorderie";"4"
"94";"C";"100";"Accompagnement marche";"0";"-1";"Accompagnement pour prendre une marche";"1"
"95";"C";"100";"Accompagnement vélo";"0";"-1";"Accompagnement pour faire du vélo";"2"
"96";"C";"100";"Accompagnement yoga";"0";"-1";"Accompagnement pour pratique de yoga";"3"
"97";"C";"100";"Accompagnement sortie culturelle";"0";"-1";"Accompagnement pour une sortie culturelle (cinéma, théâtre, concert, etc.)";"4"
"98";"C";"100";"Accompagnement musée";"0";"-1";"Accompagnement pour visite d'un musée";"5"
"99";"C";"100";"Accompagnement activités familiales extérieures";"0";"-1";"Accompagnement pour fêtes de quartier et autres activités familiales en plein air";"10"
"100";"C";"100";"Accompagnement sortie plein air";"0";"-1";"Accompagnement pour une sortie en plein air à l'extérieur de la ville";"11"
"101";"C";"100";"Accompagnement sortie nature";"0";"-1";"Accompagnement pour journée en nature";"12"
"102";"C";"100";"Accompagnement baignade";"0";"-1";"Accompagnement pour baignade";"13"
"103";"C";"100";"Accompagnement moto (passager)";"0";"-1";"Accompagnement comme passager pour randonnée en moto";"14"
"104";"D";"100";"Garde d'enfants à votre maison";"0";"-1";"Garde d'enfants à votre maison";"1"
"105";"D";"100";"Garde d'enfants à ma maison";"0";"-1";"Garde d'enfants à ma maison";"2"
"106";"D";"100";"Garde d'enfants à ma maison avec les miens";"0";"-1";"Garde d'enfants à ma maison en présence des miens";"3"
"107";"D";"100";"Garde d'enfants au parc";"0";"-1";"Garde d'enfants en jouant au parc avec eux";"4"
"108";"D";"100";"Garde d'enfants et arts plastiques";"0";"-1";"Garde d'enfants combiné avec un atelier d'arts plastiques";"5"
"109";"E";"100";"Répit aidantEs naturels";"0";"-1";"Répit aux aidantEs naturels en gardant la ou les personnes à leur charge";"1"
"110";"E";"100";"Garde personnes âgées";"0";"-1";"Garde de personnes âgées";"2"
"111";"F";"100";"Garde de maison (home-sitting)";"0";"-1";"Garde de maison ou d'appartement en demeurant sur place (home-sitting)";"1"
"112";"F";"100";"Visite maison lors d'absence";"0";"-1";"Nourrit vos animaux, m'occupe de vos plantes ou de votre jardin et ramasse le courrier lors d'absence prolongée";"2"
"113";"F";"100";"Garde d'animaux à ma maison";"0";"-1";"Garde vos animaux de compagnie chez moi lors d'absences prolongées";"3"
"114";"F";"100";"Garde d'animaux à votre maison";"0";"-1";"Garde vos animaux de compagnie chez vous lors d'absences prolongées";"4"
"115";"F";"100";"Garde de plantes chez moi";"0";"-1";"Garde vos plantes chez moi lors d'absence prolongée";"5"
"116";"G";"100";"Promenade chien";"0";"-1";"Promène votre chien à votre place";"1"
"117";"G";"100";"Conseils relation avec chien";"0";"-1";"Conseils et trucs pour améliorer la relation avec votre chien de compagnie";"2"
"118";"G";"100";"Conseils aquariophilie";"0";"-1";"Conseils pour l&#8217;aquariophilie (aménagement et entretien d&#8217;aquariums)";"3"
"119";"G";"100";"Transport animaux";"0";"-1";"Apporte vos animaux chez le vétérinaire ou ailleurs";"4"
"120";"A";"101";"Aide pour remplir formulaires";"0";"-1";"Aide pour remplir différents formulaires : demande d&#8217;aide sociale, allocation logement, HLM, inscription à l&#8217;école, prêts et bourses, etc.";"1"
"121";"A";"101";"Étude projet d'entreprise";"0";"-1";"Fait études et analyse de projets d'entreprise ou de mise en place de PME";"2"
"122";"A";"101";"Aide pour demande de subvention";"0";"-1";"Aide pour remplir des demandes de subvention auprès de bailleurs de fonds";"3"
"123";"B";"101";"Aide pour comptabilité";"0";"-1";"Aide pour faire de la comptabilité";"1"
"124";"B";"101";"Tenue de livres comptables";"0";"-1";"Aide à la tenue de livres comptables";"2"
"125";"C";"101";"Rapport d'impôt personnel";"0";"-1";"Fait votre rapport d&#8217;impôt personnel";"1"
"126";"C";"101";"Conseils budgétaires";"0";"-1";"Aide et conseils pour la gestion de votre budget";"2"
"127";"C";"101";"Conseils financiers et placement";"0";"-1";"Conseils financiers et en placement";"3"
"128";"A";"101";"Conseils assurance";"-1";"-1";"Conseils en assurance";"4"
"129";"D";"101";"Rédaction Curriculum vitae";"0";"-1";"Mise à jour ou rédaction de votre curriculum vitae";"1"
"130";"D";"101";"Conseils Curriculum vitae";"0";"-1";"Conseils pour améliorer votre curriculum vitae";"2"
"131";"D";"101";"Rédaction lettre de présentation";"0";"-1";"Mise à jour ou rédaction de lettres de présentation pour accompagner un curriculum vitae";"3"
"132";"D";"101";"Conseils lettre de présentation";"0";"-1";"Conseils pour améliorer une lettre de présentation";"4"
"133";"D";"101";"Pratique d'entrevue";"0";"-1";"Pratique d&#8217;entrevue pour un nouvel emploi";"5"
"134";"D";"101";"Recherche d'emploi";"0";"-1";"Aide pour la recherche d'emploi";"6"
"135";"D";"101";"Choix de carrière";"0";"-1";"Conseils sur choix de carrière et d'études";"7"
"136";"E";"101";"Animation de réunions";"0";"-1";"Animation de réunions selon vos besoins";"1"
"137";"E";"101";"Organisation et animation conférences";"0";"-1";"Aide à l'organisation ou l'animation de conférences sur toutes sortes de sujets";"2"
"138";"E";"101";"Organisation et animation groupes de discussion";"0";"-1";"Aide à l'organisation ou l'animation de groupes de discussions ou d'informations sur toutes sortes de sujets";"3"
"139";"E";"101";"Organisation événements sociaux";"0";"-1";"Planification et organisation d'événements culturels ou sociaux";"4"
"140";"E";"101";"Aide contacts avec institutions hispanophones";"0";"-1";"Aide pour développer vos contacts avec des institutions hispanophones";"5"
"141";"Z";"101";"Initiation au code civil";"0";"-1";"Initiation au Code civil du Québec : droit de la famille, droit des contrats, etc.";"1"
"142";"A";"102";"Initiation générale à l'informatique";"0";"-1";"Initiation aux ordinateurs et aux logiciels de base";"1"
"143";"A";"102";"Initiation Word";"0";"-1";"Initiation au traitement de texte avec Word";"2"
"144";"A";"102";"Initiation Excel";"0";"-1";"Initiation au tableur Excel";"3"
"145";"A";"102";"Initiation Final Cut Pro";"0";"-1";"Initiation au montage avec le logiciel Final Cut Pro";"4"
"146";"A";"102";"Nouveautés sur P.C.";"0";"-1";"Explique les nouveautés dans les ordinateurs P.C.";"5"
"147";"B";"102";"Mise en page sur ordinateur";"0";"-1";"Fait de la mise en page pour les logiciels courants comme Word";"1"
"148";"B";"102";"Traitement de texte";"0";"-1";"Traitement de texte à l'ordinateur pour des textes déjà composés";"2"
"149";"B";"102";"Tableaux Excel";"0";"-1";"Conception de tableaux avec le logiciel Excel";"3"
"150";"B";"102";"Montage PowerPoint";"0";"-1";"Montage de présentations et de documents sur PowerPoint";"4"
"151";"B";"102";"Traitement d'image Photoshop";"0";"-1";"Traitement d'image avec Photoshop (recadrer, réduire la taille, changer le contraste et autres modifications au fichier)";"5"
"152";"B";"102";"Numérisation documents";"0";"-1";"Numérisation de documents";"15"
"153";"B";"102";"Numérisation photos";"0";"-1";"Numérisation de photos";"16"
"154";"B";"102";"Montage numérique";"0";"-1";"Montage numérique avec le logiciel Final Cut Pro";"17"
"155";"B";"102";"Grave disques compacts";"0";"-1";"Grave des disques compacts (CD)";"18"
"156";"B";"102";"Grave DVD";"0";"-1";"Grave DVD";"19"
"157";"B";"102";"Montage de système pour musique";"0";"-1";"Montage de système informatique optimisé pour la musique et test de fonctionnalité";"20"
"158";"C";"102";"Initiation à Internet et courriel";"0";"-1";"Initiation à Internet : navigation, courriels, clavardage (chat), moteurs de recherche, etc.";"1"
"159";"C";"102";"Recherche Internet";"0";"-1";"Fait des recherches pour vous sur Internet";"2"
"160";"C";"102";"Conception site web";"0";"-1";"Aide pour conception de site web";"3"
"161";"D";"102";"Dépannage pour ordinateurs P.C.";"0";"-1";"Dépannage informatique pour ordinateurs P.C.";"1"
"162";"D";"102";"Dépannage pour ordinateurs Macintosh";"0";"-1";"Dépannage informatique pour ordinateurs Macintosh";"2"
"163";"D";"102";"Installation de logiciels";"0";"-1";"Aide pour ajouter des logiciels";"3"
"164";"D";"102";"Installation de logiciels libres";"0";"-1";"Installation de logiciels libres (et gratuits) sur ordinateur tels que Open Office, Mozilla, etc.";"4"
"165";"D";"102";"Installation de Linux";"0";"-1";"Installation du système d'exploitation Linux sur votre ordinateur";"5"
"166";"D";"102";"Anti virus et logiciels espions";"0";"-1";"Aide pour protéger votre ordinateur contre les virus et les logiciels espions (""spy ware"")";"6"
"167";"E";"102";"Dépannage disque dur";"0";"-1";"Aide et nettoyage de disques durs";"1"
"168";"E";"102";"Ajout de composantes (hardware)";"0";"-1";"Aide pour monter ou démonter un ordinateur pour ajouter des composantes";"2"
"169";"Z";"102";"Recherche pour Windows";"0";"-1";"Fait recherche pour toute question touchant Windows '95 et les systèmes d&#8217;exploitation subséquents";"1"
"170";"Z";"102";"Récupération pièces d'ordinateur";"0";"-1";"Récupération de pièces ou d'ordinateur qui ne fonctionne plus";"2"
"171";"A";"103";"Transport besoins divers";"0";"-1";"Transport pour vos différents besoins";"1"
"172";"A";"103";"Transport pour les courses";"0";"-1";"Transport pour faire les courses";"2"
"173";"A";"103";"Transport et accompagnement plein air";"0";"-1";"Transport et accompagnement pour sorties en plein air";"3"
"174";"B";"103";"Transport de matériel avec voiture";"0";"-1";"Transport divers avec voiture : boîtes, très petits meubles, etc.";"1"
"175";"B";"103";"Transport avec camionnette";"0";"-1";"Transport divers avec camionnette : boîtes, meubles, etc.";"2"
"176";"B";"103";"Transport avec remorque";"0";"-1";"Transport divers avec remorque : matériaux, boîtes et meubles";"3"
"177";"C";"103";"Des bras pour gros déménagement";"0";"-1";"Aide pour déménager n'importe quoi, incluant les appareils électroménagers";"1"
"178";"C";"103";"Des bras pour moyen déménagement";"0";"-1";"Aide pour tout déménager sauf les électroménagers, les divans, etc.";"2"
"179";"C";"103";"Des bras pour petit déménagement";"0";"-1";"Aide pour déménager uniquement des boîtes, du linge, des petits meubles, etc.";"3"
"180";"C";"103";"Aide pour préparer déménagement";"0";"-1";"Aide pour préparer déménagement : emballage, lister vos boîtes, etc.";"4"
"181";"C";"103";"Aide pour aménager";"0";"-1";"Aide pour aménager : vider les boîtes, placer les meubles, ranger dans les armoires, etc.";"5"
"182";"C";"103";"Conducteur pour camion 26 pieds";"0";"-1";"Conduit camion de 26 pieds maximum pour déménagement";"10"
"183";"D";"103";"Covoiturage de Québec vers Montréal";"0";"-1";"Possibilité de covoiturage en direction de Montréal";"1"
"184";"D";"103";"Covoiturage de Québec vers Trois-Rivières";"0";"-1";"Possibilité de covoiturage en direction de Trois-Rivières";"2"
"185";"D";"103";"Covoiturage de Québec vers la Beauce";"0";"-1";"Possibilité de covoiturage en direction de la Beauce";"3"
"186";"D";"103";"Covoiturage de Québec vers le Lac Mégantic";"0";"-1";"Possibilité de covoiturage en direction du Lac Mégantic";"4"
"187";"D";"103";"Covoiturage de Québec vers Charlevoix";"0";"-1";"Possibilité de covoiturage en direction de Charlevoix";"5"
"188";"E";"103";"Covoiturage de Trois-Rivières vers Montréal";"0";"-1";"Possibilité de covoiturage en direction de Montréal";"1"
"189";"E";"103";"Covoiturage de Trois-Rivières vers Québec";"0";"-1";"Possibilité de covoiturage en direction de Québec";"2"
"190";"F";"103";"Covoiturage de Montréal vers Trois-Rivières";"0";"-1";"Possibilité de covoiturage en direction de Trois-Rivières";"1"
"191";"F";"103";"Covoiturage de Montréal vers Québec";"0";"-1";"Possibilité de covoiturage en direction de Québec";"2"
"192";"Z";"103";"Conducteur pour votre voiture";"0";"-1";"Conduit votre auto à votre place si vous êtes dans l'impossibilité de le faire";"1"
"193";"A";"104";"Ménage léger";"0";"-1";"Aide pour ménage léger : balayer, épousseter, laver toilettes, etc.";"1"
"194";"A";"104";"Ménage lourd";"0";"-1";"Aide pour ménage lourd : laver murs, planchers et vitres, cirer plancher, etc.";"2"
"195";"A";"104";"Nettoyage tapis";"0";"-1";"Aide pour nettoyer des tapis";"3"
"196";"A";"104";"Aide domestique";"0";"-1";"Aide à domicile pour personnes en perte d'autonomie ou ayant des incapacités physiques ou mentales";"10"
"197";"B";"104";"Peinture intérieure";"0";"-1";"Peint votre logement";"1"
"198";"B";"104";"Peinture extérieure";"0";"-1";"Peint votre extérieur : galeries, garage, murs, etc.";"2"
"199";"B";"104";"Bricoleur pour petits travaux";"0";"-1";"Bricoleur de nature peut vous aider à de petits travaux manuels";"5"
"200";"B";"104";"Menus travaux ébénisterie";"0";"-1";"Fait menus travaux en ébénisterie";"6"
"201";"B";"104";"Menus travaux plomberie";"0";"-1";"Fait menus travaux en plomberie";"7"
"202";"B";"104";"Menus travaux électricité";"0";"-1";"Fait menus travaux électriques : ajouter une plinthe électrique (chauffage), poser un luminaire, réparer une prise de courant, etc.";"8"
"203";"B";"104";"Pose et réparation systèmes d'alarme";"0";"-1";"Pose et répare les systèmes d&#8217;alarme";"9"
"204";"B";"104";"Conseils pour systèmes d'alarme";"0";"-1";"Conseils pour choisir le meilleur système d'alarme";"10"
"205";"B";"104";"Apprentissage tour à bois";"0";"-1";"Vous apprend à utiliser un tour à bois pour différents projets : barreaux de chaise, boîtes, cuillères, etc.";"15"
"206";"C";"104";"Aide pour rénovation";"0";"-1";"Aide pour vos projets de bricolage et de rénovation de maison de faible envergure";"1"
"207";"C";"104";"Tirage de joints";"0";"-1";"Tirage et sablage de joints de ciment à gypse pour travaux mineurs";"2"
"208";"C";"104";"Remplacement de comptoir de cuisine";"0";"-1";"Remplacement de comptoir de cuisine";"3"
"209";"C";"104";"Conseils pour autoconstruction";"0";"-1";"Conseils pour projets d'autoconstruction résidentielle";"15"
"210";"D";"104";"Conseils pour décoration intérieure";"0";"-1";"Bons conseils pour décoration intérieure";"1"
"211";"D";"104";"Mesure et installation store, rideau, persienne";"0";"-1";"Prise de mesure et installation pour : store horizontal ou vertical, rideau et valance de rideau, persienne californienne";"2"
"212";"D";"104";"Faux finis meubles ou murs";"0";"-1";"Fait faux-finis sur meubles ou murs";"3"
"213";"D";"104";"Murale intérieure";"0";"-1";"Création de murale intérieure par artiste peintre";"4"
"214";"E";"104";"Réparation de meubles";"0";"-1";"Réparation de meubles en bois et de fini";"1"
"215";"E";"104";"Restauration ou fabrication de petits meubles";"0";"-1";"Restauration ou fabrication de petits meubles";"2"
"216";"E";"104";"Aide pour fabrication de meubles rustiques";"0";"-1";"Aide pour fabrication de meubles rustiques; fournit le bois, l'atelier et les outils";"3"
"217";"E";"104";"Recouvrement de petits meubles";"0";"-1";"Recouvrement de petits meubles : chaises de cuisine, divans et fauteuils";"4"
"218";"E";"104";"Réparation électroménagers";"0";"-1";"Réparation d'électroménagers";"20"
"219";"E";"104";"Réparation petits appareils électriques";"0";"-1";"Réparation de petits appareils électriques (comme perceuses) ou domestiques (comme grille pain)";"21"
"220";"E";"104";"Nettoyage de magnétoscope (vidéo)";"0";"-1";"Nettoyage de magnétoscope (vidéo)";"22"
"221";"F";"104";"Entretien ou réparation automobile";"0";"-1";"Entretien mécanique ou réparation simple de votre automobile (pas un garage)";"1"
"222";"F";"104";"Lavage de voiture";"0";"-1";"Aide pour laver votre automobile";"2"
"223";"F";"104";"Assiste dans l'achat de pièces d'auto";"0";"-1";"Accompagnement pour achat de pièces d'auto à bon marché";"3"
"224";"F";"104";"Conversion au biodiesel";"0";"-1";"Aide pour convertir son automobile diesel pour utiliser aussi de l'huile à friture usée";"4"
"225";"G";"104";"Réparation vélos";"0";"-1";"Réparation ou mise au point de vélos : ajustement de freins, changement de pneus, etc.";"1"
"226";"G";"104";"Fabrication de vélos à partir de vélos usagés";"0";"-1";"Remonte des vélos à partir de vélos usagés";"2"
"227";"H";"104";"Aide pour entretien de plantes";"0";"-1";"Coup de main pour entretien de vos plantes, boutures, etc.";"1"
"228";"H";"104";"Aide pour jardinage";"0";"-1";"Coup de main pour entretien de votre jardin";"2"
"229";"H";"104";"Fait jardinières de fleurs";"0";"-1";"Fait pour vous des jardinières de fleurs";"3"
"230";"H";"104";"Entretien de plates-bandes";"0";"-1";"Peut entretenir plates-bandes de fleurs ou plantes ornementales";"4"
"231";"H";"104";"Création ou élaboration d'un potager";"0";"-1";"Création ou élaboration d'un potager";"5"
"232";"H";"104";"Assistance pour compostière";"0";"-1";"Assistance pour organiser votre compostière";"6"
"233";"H";"104";"Conseils pour jardin autofertile";"0";"-1";"Donne des renseignements pour créer un jardin autofertile";"15"
"234";"H";"104";"Conseils pour bonsaïs";"0";"-1";"Conseils pour la création et l'entretien de bonsaïs (choix d'un arbre, comment le tailler, etc.)";"16"
"235";"H";"104";"Conseils pour pousses et germinations";"0";"-1";"Conseils pour apprendre à cultiver des pousses et germinations à la maison : luzerne, sarrasin et trèfle à quatre feuilles, etc.";"17"
"236";"I";"104";"Travaux d'aménagement de terrains";"0";"-1";"Fait travaux d&#8217;aménagement de terrains";"1"
"237";"I";"104";"Aménagement paysager";"0";"-1";"Aide pour aménagement paysager";"2"
"238";"I";"104";"Conseils pour soins des arbres";"0";"-1";"Conseils en arboriculture et soins de l'arbre";"3"
"239";"I";"104";"Travaux d'entretien de terrains";"0";"-1";"Fait travaux d&#8217;entretien de terrains";"10"
"240";"I";"104";"Nettoyage saisonnier de terrains";"0";"-1";"De l'aide pour nettoyer votre terrain au printemps et à l&#8217;automne";"11"
"241";"I";"104";"Petit déneigement";"0";"-1";"Aide pour petit déneigement";"12"
"242";"A";"105";"Accompagnement cuisine";"0";"-1";"Vous accompagne pour cuisiner un repas à votre domicile";"1"
"243";"A";"105";"Aide pour cuisiner";"0";"-1";"Aide et conseils pour cuisiner";"2"
"244";"A";"105";"Cuisine plats ou repas";"0";"-1";"Cuisine pour vous des plats";"3"
"245";"A";"105";"Préparation repas pour famille";"0";"-1";"Prépare des repas pour une famille de 2 à 4 personnes";"4"
"246";"A";"105";"Préparation lunchs";"0";"-1";"Cuisine des lunchs à l'avance";"5"
"247";"A";"105";"Préparation repas à congeler";"0";"-1";"Cuisine pour vous, à votre domicile ou chez moi, des repas à congeler";"6"
"248";"A";"105";"Cuisine repas chez vous";"0";"-1";"Me déplace pour faire cuisine chez vous (ex.: souper romantique, réception, etc.)";"7"
"249";"A";"105";"Cuisine pour réception ou activités";"0";"-1";"Fait cuisine pour réception ou activités (comme un traiteur)";"8"
"250";"A";"105";"Traiteur buffet froid ou chaud";"0";"-1";"Service de traiteur pour buffet froid ou chaud, menu à déterminer";"9"
"251";"A";"105";"Confection desserts pour événements";"0";"-1";"Confection de beaux et bons desserts pour événements spéciaux";"10"
"252";"A";"105";"Préparation purées pour bébé";"0";"-1";"Prépare pour vous des purées pour bébé";"20"
"253";"A";"105";"Mise en conserve maison";"0";"-1";"Fait ou aide à faire la mise en pot de conserves maisons";"21"
"254";"A";"105";"Préparation soupe maison";"0";"-1";"Prépare soupes en portions individuelles ou en grosses quantités";"22"
"255";"A";"105";"Préparation biscuits";"0";"-1";"Prépare biscuits délicieux en grandes ou petites quantités";"23"
"256";"A";"105";"Préparation muffins";"0";"-1";"Prépare muffins délicieux en grandes ou petites quantités";"24"
"257";"A";"105";"Préparation muffins santé";"0";"-1";"Prépare des muffins santé et non caloriques, sans sucre, ni oeuf, ni lait";"25"
"258";"A";"105";"Préparation fruits séchés";"0";"-1";"Prépare et sèche vos fruits";"26"
"259";"A";"105";"Fabrication sel aux herbes";"0";"-1";"Fabrique mélange de sel et d'herbes diverses (plantes médicinales, biologiques, etc.)";"27"
"260";"A";"105";"Fabrication lait de soya / lait végétal";"0";"-1";"Fabrique breuvage sans lactose à partir de soya ou autre végétal (amande, riz, noix ou graines diverses)";"28"
"261";"B";"105";"Cuisine plats mexicains";"0";"-1";"Cuisine pour vous des plats mexicains";"1"
"262";"B";"105";"Cuisine plats africains";"0";"-1";"Cuisine pour vous des plats africains";"2"
"263";"B";"105";"Aide cuisine végétarienne ou végétalienne";"0";"-1";"Aide pour cuisine végétarienne ou végétalienne";"3"
"264";"C";"105";"Techniques de base en cuisine";"0";"-1";"Apprentissage des techniques de base en cuisine et de recettes simples (comme salades composées et potages)";"1"
"265";"C";"105";"Initiation préparation de purées pour bébé";"0";"-1";"Initiation à la préparation de purées pour bébé";"2"
"266";"C";"105";"Initiation fabrication de pain";"0";"-1";"Initiation à la fabrication du pain";"3"
"267";"C";"105";"Initiation cuisine française";"0";"-1";"Initiation à la cuisine française";"20"
"268";"C";"105";"Initiation cuisine mexicaine";"0";"-1";"Initiation à la cuisine mexicaine";"21"
"269";"C";"105";"Initiation cuisine africaine";"0";"-1";"Initiation à la cuisine africaine";"22"
"270";"C";"105";"Initiation cuisine indienne";"0";"-1";"Initiation à la cuisine indienne";"23"
"271";"C";"105";"Initiation cuisine végétarienne";"0";"-1";"Initiation à la cuisine végétarienne";"24"
"272";"C";"105";"Initiation fabrication de sushis";"0";"-1";"Initiation à la fabrication de sushis (avec poisson cru)";"25"
"273";"C";"105";"Initiation fabrication de sushis végétariens";"0";"-1";"Initiation à la fabrication de sushis végétariens (sans poisson)";"26"
"274";"C";"105";"Initiation fabrication de lait de soya";"0";"-1";"Initiation à la confection de breuvage à partir de graines de soya";"27"
"275";"D";"105";"Conseils pour cuisiner";"0";"-1";"Conseils pour cuisiner";"1"
"276";"D";"105";"Conseils cuisine végétarienne ou végétalienne";"0";"-1";"Conseils pour cuisine végétarienne ou végétalienne";"2"
"277";"D";"105";"Aide pour planifier menus économiques";"0";"-1";"Aide pour planifier des menus économiques et rapides selon votre budget";"3"
"278";"D";"105";"Conseils achat de vin et fromages";"0";"-1";"Conseils pour l'achat de vin et de fromages";"4"
"279";"Z";"105";"Fabrication vin artisanale";"0";"-1";"Fabrication de vin artisanale";"1"
"280";"A";"106";"Confection montages floraux";"0";"-1";"Confectionne ou rafraîchit vos montages de fleurs de soie, naturelles ou séchées";"1"
"281";"A";"106";"Confection arrangements de fleurs artificielles";"0";"-1";"Confectionne arrangements floraux avec fleurs artificielles";"2"
"282";"A";"106";"Réparation ou restauration d'objets décoratifs";"0";"-1";"Réparation ou restauration de bibelots, décorations de Noël ou autres objets décoratifs";"3"
"283";"A";"106";"Fabrication objets décoratifs en bois";"0";"-1";"Fabrication d'objets décoratifs en bois; pour objets petits et gros (ex. arche, mobile, etc.)";"4"
"284";"A";"106";"Fabrication ""sèche-sac"" pour sacs zip-lock";"0";"-1";"Fabrication de ""sèche-sac"" à épingles pour les sacs de type zip-lock récupérés";"5"
"285";"B";"106";"Fabrication de bijoux";"0";"-1";"Fabrication de bijoux";"1"
