"NoCategorieSousCategorie";"NoSousCategorie";"NoCategorie";"TitreOffre";"Supprimer";"Approuver";"Description";"NoOffre"
"992";"G";"100";"Accompagnement visite vétérinaire";"0";"-1";"Accompagnement pour visite chez le vétérinaire avec votre animal (examen, opération, euthanasie, etc.)";"18"
"993";"G";"100";"Conseils pour cochon d'Inde";"0";"-1";"Conseils divers pour propriétaire de cochon d'Inde (soins, alimentation, entretien, toilettage, coupe des griffes, etc.)";"19"
"994";"B";"109";"Initiation basketball";"0";"-1";"Initiation au basketball";"16"
"995";"A";"108";"Apprentissage de l'alto";"0";"-1";"Vous apprend à jouer de l'alto (cousin du violon, en plus grand et plus grave)";"33"
"996";"C";"104";"Initiation tirage de joint";"0";"-1";"Initiation au tirage de joint";"14"
"997";"A";"105";"Préparation granola";"0";"-1";"Prépare pour vous des céréales de type granola";"37"
"998";"H";"108";"Initiation histoire";"0";"-1";"Initiation aux grands thèmes et méthodes pour l'étude de l'histoire";"5"
"999";"H";"108";"Initiation culture religieuse";"0";"-1";"Initiation aux grands thèmes et enjeux liés à l'étude des religions";"21"
"1000";"I";"108";"Soutien scolaire spécialisé";"0";"-1";"Aide scolaire adaptée aux élèves ayant des difficultés particulières et aux élèves handicapés ou en difficulté d'apprentissage ou d'adaptation (EHDAA)";"19"
"1001";"I";"108";"Développement stratégies d'apprentissage";"0";"-1";"Outils pour mieux vous organiser et vous structurer afin d'être plus efficace dans vos apprentissages à divers niveaux";"21"
"1002";"C";"100";"Accompagnement jogging";"0";"-1";"Accompagnement pour faire du jogging";"19"
"1003";"C";"100";"Accompagnement escalade";"0";"-1";"Accompagnement pour une pratique ou une sortie d'escalade";"20"
"1004";"B";"109";"Initiation Kung Fu";"0";"-1";"Initiation au Kung Fu";"19"
"1005";"C";"107";"Apprentissage du khmer (cambodgien)";"0";"-1";"Apprentissage du khmer, langue principale du Cambodge";"47"
"1006";"C";"107";"Conversation française";"0";"-1";"Conversation pour améliorer votre français";"4"
"1007";"F";"104";"Nettoyage intérieur voiture";"0";"-1";"Peut nettoyer l'intérieur de votre automobile";"6"
"1008";"H";"108";"Initiation science politique";"0";"-1";"Initiation aux grands thèmes et enjeux liés à l'étude de la politique";"22"
"1009";"H";"108";"Initiation relations internationales";"0";"-1";"Initiation aux grands thèmes et enjeux liés à l'étude des relations internationales";"23"
"1010";"Z";"199";"Aide et conseils récupération / recyclage";"0";"-1";"Vous assiste pour trouver les meilleures solutions en récupération et recyclage d'une grande variété d'objets";"6"
"1011";"B";"104";"Menus travaux vitrerie";"0";"-1";"Taillage de vitre, de miroir et/ou réparation de ce qui touche le verre (remplacer un carreau de fenêtre, etc.)";"17"
"1012";"A";"106";"Conception jouets en fibres naturelles";"0";"-1";"Peut concevoir et assembler des jouets à partir de matériaux écologiques";"70"
"1013";"H";"104";"Assistance vermicompostage";"0";"-1";"Assistance et conseils (techniques, entretien, etc.) pour réaliser du compost à la maison à partir de vers de terre - aussi appelé lombricompostage";"7"
"1014";"D";"109";"Initiation danses traditionnelles du Québec";"0";"-1";"Initiation aux danses du folklore québécois (danses avec ou sans ""calleur"", quadrilles, etc.)";"10"
"1015";"C";"108";"Initiation dessin animé traditionnel";"0";"-1";"Initiation à la réalisation de film d'animation à partir de dessins faits à la main (non numériques)";"50"
"1016";"G";"108";"Initiation poterie";"0";"-1";"Initiation à la poterie (à partir d'argile ou autre terre à cuire)";"14"
"1017";"C";"110";"Initiation qi gong";"0";"-1";"Initiation au qi gong, discipline traditionnelle chinoise associant mouvements lents, exercices respiratoires et concentration";"22"
"1018";"C";"102";"Initiation conception de site web";"0";"-1";"Initiation à la création et la mise à jour d'un site Internet";"6"
"1019";"C";"102";"Initiation médias sociaux sur Internet";"0";"-1";"Initiation à l'utilisation de divers sites de réseaux sociaux comme Facebook, Twitter, YouTube, LinkedIn, etc.";"7"
"1020";"F";"109";"Animation karaoké";"0";"-1";"Peut animer une activité de chansons en groupes de type karaoké";"11"
"1021";"G";"108";"Initiation création murale";"0";"-1";"Initiation à la conception et la réalisation de murales peintes sur murs intérieurs et/ou extérieurs";"15"
"1022";"B";"109";"Initiation ski alpin";"0";"-1";"Initiation au ski alpin";"20"
"1023";"B";"109";"Initiation lutte";"0";"-1";"Initiation à la lutte";"21"
