id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
1383,66-80,1,10001-20000,Longueuil,Montérégie,Greenfield Park,J4V,115,9088
1405,66-80,1,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9063
1434,31-54,0,20001-30000,Longueuil,Montérégie,Greenfield Park,J4V,115,9032
1462,0,0,20001-30000,Beloeil,Montérégie,,J3G,115,9005
1544,0,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,8923
1566,31-54,1,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8901
1567,31-54,0,10001-20000,Mercier,Montérégie,,J6R,115,8902
1568,31-54,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,8903
1569,31-54,0,10001-20000,Candiac,Montérégie,,J5R,115,8904
1581,31-54,0,10001-20000,Montréal,Montréal,Villeray--Saint-Michel--Parc-Extension,H2E,114,8884
1610,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,8849
1611,31-54,0,10001-20000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8850
1616,31-54,0,10001-20000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8857
1648,66-80,0,0,Boucherville,Montérégie,,J4B,115,8821
1669,66-80,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,8800
1684,81-95,0,30001-50000,Brossard,Montérégie,,J4W,115,8784
1685,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,8785
1712,18-30,1,50001-,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8748
1713,66-80,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,8749
1739,31-54,0,50001-,Montréal,Montréal,Côte-des-Neiges--Notre-Dame-de-Grâce,H3S,114,8725
1747,55-65,0,0-10000,Longueuil,Montérégie,Greenfield Park,J4V,115,8715
1748,0,0,50001-,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8716
1750,31-54,0,0-10000,Brossard,Montérégie,,J4Y,115,8718
1771,66-80,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8701
1783,31-54,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8683
1786,55-65,1,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8670
1788,66-80,0,30001-50000,Boucherville,Montérégie,,J4B,115,8672
1803,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,8676
1810,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,8659
1841,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,8625
1842,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,8626
1866,55-65,0,0-10000,Delson,Montérégie,,J5B,115,8604
1867,66-80,1,30001-50000,Saint-Lambert,Montérégie,,J4S,115,8605
1868,31-54,0,0-10000,Piedmont,Laurentides,,J0R,115,8606
1869,66-80,1,10001-20000,Longueuil,Montérégie,Greenfield Park,J3Y,115,8607
1885,66-80,1,30001-50000,Montréal,Montréal,Rosemont--La Petite-Patrie,H2S,114,8588
1890,66-80,1,10001-20000,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,8576
1891,66-80,0,10001-20000,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,8577
1895,66-80,0,30001-50000,Montréal,Montréal,Rosemont--La Petite-Patrie,H2G,114,8558
1927,55-65,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8537
1931,66-80,0,10001-20000,Mercier,Montérégie,,J6R,115,8528
1932,31-54,0,50001-,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8529
1933,31-54,0,50001-,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8530
1934,66-80,0,50001-,Saint-Lambert,Montérégie,,J4S,115,8531
1935,66-80,0,20001-30000,Saint-Lambert,Montérégie,,J4S,115,8532
1936,31-54,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8533
1937,18-30,1,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,8534
1978,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8483
1979,66-80,1,50001-,Boucherville,Montérégie,,J4B,115,8484
1980,66-80,0,30001-50000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8485
1981,81-95,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8486
1982,66-80,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,8487
1983,66-80,0,30001-50000,Saint-Cyprien-de-Napierville,Montérégie,,J0J,115,8488
2011,31-54,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4P,115,8447
2012,66-80,0,30001-50000,Aston-Jonction,Centre-du-Québec,,J4J,115,8448
2013,66-80,1,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8449
2015,31-54,0,50001-,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8450
2018,31-54,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8453
2020,55-65,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4G,115,8455
2060,31-54,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8402
2062,55-65,0,0-10000,Longueuil,Montérégie,Greenfield Park,J4V,115,8404
2065,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4M,115,8407
2066,66-80,0,10001-20000,Napierville,Montérégie,,J0J,115,8408
2101,66-80,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,8361
2102,66-80,0,50001-,Saint-Hyacinthe,Montérégie,,J2S,115,8363
2103,31-54,0,20001-30000,Saint-Jean-sur-Richelieu,Montérégie,,J2X,115,8364
2104,0,0,10001-20000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8380
2105,31-54,0,10001-20000,McMasterville,Montérégie,,J3G,115,8381
2106,0,0,10001-20000,Saint-Lambert,Montérégie,,J4P,115,8383
2134,81-95,1,10001-20000,Longueuil,Montérégie,Greenfield Park,J4K,115,8335
2135,55-65,0,20001-30000,Varennes,Montérégie,,J3X,115,8336
2136,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,8337
2137,31-54,1,30001-50000,Longueuil,Montérégie,Greenfield Park,J4H,115,8338
2138,31-54,1,30001-50000,Montréal,Montréal,Rivière-des-Prairies--Pointe-aux-Trembles,H1E,115,8339
2145,66-80,0,20001-30000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,8316
2146,66-80,0,0,Longueuil,Montérégie,Greenfield Park,J4V,115,8317
2147,66-80,0,20001-30000,Delson,Montérégie,,J5B,115,8318
2148,31-54,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,8319
2150,66-80,0,20001-30000,Delson,Montérégie,,J4B,115,8344
